source_vertex_id,distance_to_surface
899,1.241384
900,0.986276
901,0.785441
902,0.392915
903,0.284939
904,0.267105
905,0.639850
906,0.077484
907,0.238193
908,1.030858
909,0.738751
910,0.697154
911,0.633439
912,0.577127
913,0.165130
914,0.523978
915,0.473531
916,0.441197
917,0.417984
918,0.260975
919,0.330814
920,0.131350
921,0.139854
922,0.001849
923,0.852745
924,0.882400
925,0.742883
926,0.737636
927,0.249278
928,0.636549
929,0.204311
930,0.288010
931,0.199419
932,0.050521
933,0.066560
934,0.079116
935,0.192989
936,0.194727
937,0.280830
938,0.405431
939,0.327063
940,0.274067
941,0.243656
942,2.354459
943,0.668105
944,0.670465
945,0.443772
946,1.246097
947,1.200854
948,0.228253
949,2.247735
950,1.722191
951,3.626210
952,3.277950
953,3.978672
954,4.451011
955,5.090429
956,4.805345
957,4.411781
958,4.159459
959,3.816929
960,3.226541
961,3.411470
962,2.806025
963,2.843512
964,2.132742
965,0.881641
966,0.251655
967,0.508892
968,1.217576
969,1.612501
970,0.243819
971,0.233344
972,0.214132
973,0.187686
974,0.227486
975,0.221336
976,0.205457
977,0.180070
978,0.201987
979,0.168160
980,0.131190
981,0.106795
982,0.113853
983,0.099961
984,0.063829
985,0.031809
986,0.011475
987,0.026135
988,0.016459
989,0.027827
990,0.036135
991,0.011024
992,0.032126
993,0.014049
994,0.061006
995,0.124569
996,0.215125
997,0.304591
998,0.393190
999,0.422070
1000,0.446356
1001,0.383813
1002,0.333135
1003,0.326425
1004,0.382076
1005,0.494510
1006,0.630920
1007,0.785983
1008,0.081967
1009,0.065791
1010,0.078298
1011,0.062190
1012,0.083954
1013,0.080585
1014,0.058299
1015,0.086086
1016,0.084314
1017,0.069211
1018,0.089569
1019,0.085340
1020,0.055814
1021,0.017204
1022,0.043262
1023,0.095867
1024,0.106730
1025,0.060577
1026,0.030885
1027,0.144176
1028,0.216456
1029,0.179055
1030,0.437867
1031,0.628467
1032,1.238753
1033,0.781734
1034,1.093173
1035,0.941106
1036,0.773130
1037,0.539273
1038,0.828558
1039,0.339814
1040,0.703587
1041,1.188444
1042,1.101683
1043,0.142083
1044,0.348041
1045,0.603862
1046,0.416104
1047,0.351337
1048,0.322705
1049,0.182695
1050,0.155769
1051,0.169657
1052,0.043835
1053,0.053994
1054,0.090392
1055,0.112255
1056,0.349546
1057,0.891939
1058,0.933307
1059,0.995502
1060,1.004569
1061,0.396546
1062,0.656921
1063,0.372110
1064,0.316264
1065,0.310046
1066,0.097831
1067,0.060346
1068,0.057457
1069,0.143756
1070,0.214587
1071,0.236227
1072,0.235226
1073,2.931710
1074,0.500353
1075,0.131253
1076,0.905715
1077,0.003117
1078,1.595612
1079,1.920684
1080,2.496413
1081,1.517368
1082,1.871010
1083,0.478344
1084,0.728772
1085,0.093660
1086,0.995339
1087,0.281599
1088,0.273284
1089,0.247194
1090,0.261850
1091,0.241390
1092,0.252439
1093,0.266754
1094,0.227738
1095,0.274504
1096,0.240130
1097,0.218441
1098,0.191701
1099,0.238570
1100,0.208163
1101,0.146288
1102,0.110769
1103,0.072791
1104,0.011397
1105,0.023944
1106,0.018101
1107,0.009393
1108,0.002025
1109,0.036851
1110,0.016624
1111,0.013418
1112,0.014592
1113,0.082577
1114,0.035861
1115,0.078138
1116,0.172532
1117,0.170272
1118,0.302173
1119,0.360816
1120,0.445006
1121,0.494474
1122,0.501666
1123,0.462767
1124,0.400807
1125,0.351020
1126,0.344212
1127,0.503495
1128,0.401630
1129,0.652202
1130,0.822387
1131,0.338783
1132,0.089915
1133,0.093477
1134,0.081648
1135,0.101792
1136,0.099259
1137,0.154409
1138,0.153918
1139,0.127192
1140,0.175428
1141,0.118612
1142,0.087971
1143,0.125594
1144,0.081583
1145,0.006109
1146,0.062063
1147,0.007547
1148,0.072562
1149,0.181987
