source_vertex_id,distance_to_surface
872,0.113833
873,0.114803
874,0.115266
875,0.111713
876,0.120816
877,0.103473
878,0.055127
879,0.106288
880,0.044126
881,0.065513
882,0.066671
883,0.090348
884,0.061692
885,0.074714
886,0.073121
887,0.027411
888,0.069139
889,0.098704
890,0.151636
891,0.126414
892,0.070981
893,0.008237
894,0.075665
895,0.098172
896,0.293483
897,0.608694
898,1.535001
899,1.398206
900,1.092524
901,0.867909
902,0.401212
903,0.259406
904,0.311884
905,0.710079
906,0.111517
907,0.173204
908,1.144181
909,0.816983
910,0.847196
911,0.755463
912,0.584295
913,0.132785
914,0.632424
915,0.478741
916,0.532710
917,0.496288
918,0.316674
919,0.391009
920,0.152748
921,0.180164
922,0.002518
923,0.855157
924,0.927534
925,0.739141
926,0.757504
927,0.286472
928,0.627451
929,0.240238
930,0.332304
931,0.228618
932,0.056129
933,0.079524
934,0.094656
935,0.226077
936,0.226937
937,0.326914
938,0.480839
939,0.380550
940,0.318484
941,0.283631
942,2.831886
943,0.804942
944,0.833033
945,0.554940
946,1.472213
947,1.475650
948,0.289840
949,2.610087
950,2.006533
951,4.199699
952,3.843869
953,4.673386
954,5.184140
955,5.866739
956,5.543461
957,5.132250
958,4.794193
959,4.448842
960,3.750166
961,3.903432
962,3.243885
963,3.305475
964,2.496329
965,1.058034
966,0.314313
967,0.622844
968,1.448381
969,1.896503
970,0.266889
971,0.254818
972,0.232863
973,0.202849
974,0.248594
975,0.241599
976,0.223474
977,0.194279
978,0.219680
979,0.181390
980,0.138995
981,0.111505
982,0.120063
983,0.104273
984,0.064323
985,0.028910
986,0.011428
987,0.024772
988,0.022495
989,0.017161
990,0.035050
991,0.004524
992,0.018162
993,0.004510
994,0.083688
995,0.144253
996,0.244462
997,0.365154
998,0.460475
999,0.499307
1000,0.511900
1001,0.455156
1002,0.384122
1003,0.375401
1004,0.433907
1005,0.568400
1006,0.690739
1007,0.843564
1008,0.106598
1009,0.104566
1010,0.112284
1011,0.098072
1012,0.116595
1013,0.116946
1014,0.085746
1015,0.109414
1016,0.116575
1017,0.098536
1018,0.125093
1019,0.120557
1020,0.047359
1021,0.011428
1022,0.077991
1023,0.098414
1024,0.104977
1025,0.055707
1026,0.023470
1027,0.114509
1028,0.214584
1029,0.171969
1030,0.459473
1031,0.702262
1032,1.409285
1033,0.918429
1034,1.237509
1035,1.061269
1036,0.877370
1037,0.583816
1038,0.922098
1039,0.398808
1040,0.785539
1041,1.338779
1042,1.234917
1043,0.079332
1044,0.411367
1045,0.676606
1046,0.524489
1047,0.441792
1048,0.277672
1049,0.236744
1050,0.201906
1051,0.207540
1052,0.044740
1053,0.070625
1054,0.116808
1055,0.130271
1056,0.411310
1057,0.911299
1058,0.994784
1059,0.994164
1060,0.972274
1061,0.458465
1062,0.603712
1063,0.429867
1064,0.357668
1065,0.355767
1066,0.110712
1067,0.069929
1068,0.063590
1069,0.164877
1070,0.259614
1071,0.269853
1072,0.267352
1073,3.391872
1074,0.629965
1075,0.189042
1076,1.088884
1077,0.023346
1078,1.886885
1079,2.262193
1080,2.912579
1081,1.796617
1082,2.202652
1083,0.586238
1084,0.880793
1085,0.136302
1086,1.195678
1087,0.310797
1088,0.301082
1089,0.271067
1090,0.287952
1091,0.264672
1092,0.277451
1093,0.293989
1094,0.249189
1095,0.303046
1096,0.263753
1097,0.234023
